"","immig","educ","female","white","voted_trump","intend_trump","repub"
"767",1,1,0,0,0,0,0
"768",1,2,1,1,1,1,1
"771",0,1,1,1,1,1,1
"775",1,3,0,1,0,0,0
"776",1,1,1,0,0,0,0
"778",1,3,0,1,0,0,0
"780",0,1,1,1,1,1,0
"781",0,1,1,0,1,1,1
"782",1,1,1,1,0,0,0
"783",1,3,0,1,0,0,0
"784",1,2,1,0,0,0,0
"785",1,3,0,1,0,0,0
"787",1,2,1,1,0,0,1
"789",1,3,1,0,0,0,1
"790",1,1,1,1,0,0,0
"791",0,1,1,0,0,0,0
"792",1,2,1,1,0,0,0
"793",1,1,1,1,1,1,1
"794",1,1,1,1,0,0,0
"795",0,0,1,1,1,1,1
"799",1,1,0,0,1,1,1
"800",1,0,1,0,0,0,0
"801",0,3,1,1,1,1,1
"802",1,3,1,0,0,0,0
"804",0,0,0,1,1,1,0
"805",0,1,1,0,1,0,0
"806",0,1,1,1,1,1,0
"807",1,3,1,1,1,1,1
"808",0,1,0,1,0,0,1
"809",1,1,1,1,1,1,1
"810",0,1,1,1,1,1,1
"811",1,3,1,0,0,0,0
"812",1,1,1,1,0,0,0
"813",1,3,1,1,0,0,0
"815",1,1,1,0,0,0,0
"817",0,1,0,1,1,1,1
"820",1,3,0,1,1,1,1
"821",1,1,1,0,0,0,0
"822",0,1,1,1,1,1,1
"823",1,3,1,1,0,0,0
"824",0,1,0,1,1,1,1
"826",1,1,1,1,0,0,0
"828",0,1,0,1,1,1,1
"830",1,1,1,1,0,0,0
"832",1,1,0,1,1,1,1
"834",0,3,1,1,0,0,0
"835",1,1,0,1,0,0,1
"838",1,2,0,1,0,0,1
"840",1,1,1,1,1,1,1
"841",1,0,1,1,1,1,1
"843",1,3,1,1,1,1,0
"845",0,3,0,0,0,0,0
"847",1,1,1,1,1,0,0
"849",1,1,1,0,0,0,0
"850",1,1,1,1,1,1,1
"851",1,1,0,1,0,0,0
"853",1,3,0,1,0,0,0
"854",1,1,0,1,0,0,0
"859",1,2,1,0,1,1,1
"861",1,1,0,1,1,1,1
"863",1,2,0,1,1,1,1
"864",1,3,1,0,0,0,0
"865",0,1,0,1,1,1,1
"868",1,1,1,0,0,0,0
"870",1,1,0,0,0,0,0
"872",0,1,0,0,0,0,0
"875",1,1,0,1,1,1,1
"880",1,3,0,0,0,0,0
"881",1,1,0,1,0,0,0
"884",1,1,0,0,1,1,1
"887",1,3,0,1,1,1,1
"888",1,2,1,1,1,1,1
"889",1,1,1,0,0,0,0
"890",1,1,0,1,0,0,0
"891",0,1,0,1,1,1,1
"892",1,2,0,1,1,1,1
"895",1,3,0,1,0,0,0
"898",1,3,1,1,0,0,0
"899",0,1,1,1,1,1,1
"900",0,0,1,0,0,0,0
"901",0,2,1,1,0,0,0
"903",1,3,0,1,0,0,0
"905",1,3,0,1,1,1,1
"907",0,1,1,0,0,0,0
"912",1,1,1,0,0,0,0
"913",1,1,0,1,0,0,0
"914",1,3,0,1,0,0,0
"917",1,2,0,0,1,1,1
"919",1,1,1,1,1,1,1
"920",1,2,0,1,1,1,1
"923",1,3,1,1,0,0,0
"924",0,1,0,1,1,1,1
"926",1,1,1,1,1,0,0
"927",1,1,0,1,0,0,0
"928",1,2,1,1,1,1,1
"929",0,1,1,1,1,1,1
"931",1,2,1,1,0,0,1
"933",0,1,1,1,1,1,1
"934",1,3,1,1,0,0,0
"935",1,1,0,0,0,0,0
"938",1,2,0,0,0,0,0
"939",0,1,1,0,1,1,1
"940",1,2,1,1,0,0,0
"943",0,1,1,1,0,0,0
"945",0,1,0,1,0,0,0
"947",0,1,0,1,1,1,1
"949",1,3,0,1,0,0,0
"951",0,1,0,1,0,0,0
"953",1,0,0,1,0,0,0
"955",1,2,1,1,1,1,1
"956",1,1,0,1,0,0,1
"957",0,2,1,1,1,1,0
"960",1,1,1,0,0,0,0
"962",1,1,1,1,1,1,1
"963",0,2,0,0,0,0,0
"964",0,0,0,1,0,1,1
"965",1,2,0,1,1,1,1
"966",0,1,0,0,0,0,1
"967",1,1,0,1,1,1,1
"968",1,3,0,1,0,0,0
"971",0,2,0,1,1,1,1
"972",0,1,1,1,1,1,1
"974",1,1,1,0,0,0,0
"975",1,1,1,1,0,0,0
"978",1,1,1,0,0,0,0
"988",0,2,1,1,1,1,1
"989",0,2,1,1,1,1,1
"990",1,1,1,0,0,0,0
"994",1,1,1,1,0,0,0
"996",1,2,1,1,1,1,1
"997",0,1,1,1,1,1,1
"1001",1,1,0,1,0,0,0
"1002",1,2,0,1,0,0,0
"1003",1,2,1,1,0,0,0
"1004",0,2,0,1,1,1,1
"1007",1,3,0,1,0,0,0
"1009",0,1,0,1,1,1,1
"1010",1,1,0,1,0,0,1
"1011",1,3,1,0,0,0,0
"1013",1,1,1,1,1,1,0
"1015",0,1,0,1,1,1,1
"1016",1,1,0,1,0,0,0
"1017",1,1,0,0,0,0,0
"1022",0,0,1,1,1,1,1
"1023",0,1,0,1,1,1,1
"1024",1,2,1,0,0,0,0
"1025",1,1,0,1,1,1,0
"1026",1,1,1,1,0,0,0
"1028",1,1,0,0,0,0,0
"1029",1,1,1,0,0,0,0
"1032",0,3,1,1,1,1,1
"1033",1,2,0,1,0,0,0
"1034",1,2,0,1,1,1,1
"1035",1,1,1,0,0,0,0
"1036",1,3,1,1,0,0,0
"1037",1,1,1,0,1,1,1
"1038",1,3,0,1,1,1,1
"1039",1,1,1,1,0,0,0
"1043",0,1,0,0,1,1,1
"1044",1,3,1,1,0,0,0
"1045",1,1,0,1,1,1,1
"1047",1,0,1,1,0,0,0
"1048",1,2,0,0,0,0,0
"1049",1,3,1,1,0,0,0
"1050",1,1,1,0,0,0,0
"1051",1,2,0,1,0,0,0
"1052",0,1,1,1,0,0,0
"1055",1,3,0,0,0,0,0
"1060",1,2,0,1,1,1,1
"1061",1,1,0,1,1,1,1
"1062",0,0,1,1,1,1,1
"1063",1,1,1,0,0,0,0
"1065",0,1,0,0,1,1,1
"1067",1,1,0,1,0,0,0
"1068",1,2,0,1,0,0,0
"1069",1,1,1,1,0,0,0
